COUNTRY,DATE,HOUR,CITY,ZONE,CONNECTED_RT,ORDERS,EARNINGS,PRECIPITATION_MM
Mexico,2024-03-01,0,Monterrey,Centro,6,2,"54,4","0,0000"
Mexico,2024-03-01,0,Monterrey,Mitras Centro,5,1,"52,4","0,0000"
Mexico,2024-03-01,0,Monterrey,Apodaca Centro,4,1,"59,1","0,0000"
Mexico,2024-03-01,0,Monterrey,Escobedo,3,1,"53,3","0,0000"
Mexico,2024-03-01,0,Monterrey,Carretera Nacional,2,0,"55,0","0,0000"
Mexico,2024-03-01,0,Monterrey,MTY_Apodaca_Huinalá,2,0,"49,1","0,0000"
Mexico,2024-03-01,0,Monterrey,San Nicolás,5,1,"49,8","0,0000"
Mexico,2024-03-01,0,Monterrey,Santa Catarina,3,1,"52,6","0,0000"
Mexico,2024-03-01,0,Monterrey,San Pedro,7,1,"56,0","0,0000"
Mexico,2024-03-01,0,Monterrey,Cumbres Poniente,5,1,"57,4","0,0000"
Mexico,2024-03-01,0,Monterrey,La Fe,3,0,"53,7","0,0000"
Mexico,2024-03-01,0,Monterrey,MTY_Guadalupe,5,1,"52,5","0,0000"
Mexico,2024-03-01,0,Monterrey,Independencia,4,1,"57,3","0,0000"
Mexico,2024-03-01,0,Monterrey,Santiago,3,0,"59,2","0,0000"
Mexico,2024-03-01,1,Monterrey,Centro,4,2,"58,8","0,0000"
Mexico,2024-03-01,1,Monterrey,Mitras Centro,2,1,"50,2","0,0000"
Mexico,2024-03-01,1,Monterrey,Apodaca Centro,1,1,"49,1","0,0000"
Mexico,2024-03-01,1,Monterrey,Escobedo,1,1,"52,7","0,0000"
Mexico,2024-03-01,1,Monterrey,Carretera Nacional,1,0,"53,0","0,0000"
Mexico,2024-03-01,1,Monterrey,MTY_Apodaca_Huinalá,1,0,"52,3","0,0000"
Mexico,2024-03-01,1,Monterrey,San Nicolás,2,1,"49,6","0,0000"
Mexico,2024-03-01,1,Monterrey,Santa Catarina,2,1,"54,4","0,0000"
Mexico,2024-03-01,1,Monterrey,San Pedro,2,1,"51,6","0,0000"
Mexico,2024-03-01,1,Monterrey,Cumbres Poniente,2,1,"54,9","0,0000"
Mexico,2024-03-01,1,Monterrey,La Fe,1,1,"49,4","0,0000"
Mexico,2024-03-01,1,Monterrey,MTY_Guadalupe,2,1,"51,5","0,0000"
Mexico,2024-03-01,1,Monterrey,Independencia,2,1,"59,3","0,0000"
